MPN,ICT P/N,DESC,Manufacturer,Group,WH PIC
CC0402KRX7R8BB562,13100-S020670H-00,"C/C,0402,5600pF,20%,25V,X7R,HF,YAGEO",YAGEO,1-CAP電容類,A18
CC0402KRX7R9BB102,,,YAGEO,1-CAP電容類,A18
CC0402KRX7R9BB103,13100-S020075H-00,"CAP,0402,0.01uF±10%50V,X7R?,HF,YAGEO",YAGEO,1-CAP電容類,A18
CC0402KRX7R9BB221,13100-S020446H-00,CAP CER 220pF 50V 10% X7R 0402,YAGEO,1-CAP電容類,A18
CC0402KRX7R9BB472,13100-S020487H-00,CAP CER 4700pF 50V 10% X7R 0402,YAGEO,1-CAP電容類,A18
CC0402MRX5R5BB225,,,YAGEO,1-CAP電容類,A19
CC0402MRX5R5BB226,13100-S020123H-00,"C/C,0402,22UF,20%,6.3V,X5R,HF,YAGEO",YAGEO,1-CAP電容類,A19
CC0402MRX5R6BB224,13100-S020634H-00,"CAP,0402,220NF,20%,10V,X5R,HF,Yageo",YAGEO,1-CAP電容類,A19
CC0603KRX5R8BB475,13100-S020211H-00,"C/C,0603,4.7uF,10%,25V,X5R,HF,YAGEO",YAGEO,1-CAP電容類,A19
CC0603KRX7R6BB225,,,YAGEO,1-CAP電容類,A19
CC0603MRX5R6BB226,13100-S020101H-00,"C/C,0603,22uF,20%,10V,X5R,HF,YAGEO",YAGEO,1-CAP電容類,A19
CC0805MRX5R6BB226,13100-S020636H-00,"CAP,0805,22UF,20%,6.3V,X5R,HF,Yageo",YAGEO,1-CAP電容類,A19
CL03A104KO3NNNC,,,SAMSUNG,1-CAP電容類,A20
CL03A105MQ3CSNH,,,SAMSUNG,1-CAP電容類,A20
CL03A225MP3CRNC,,,SAMSUNG,1-CAP電容類,A20
CL03A334KA3NRNC,13100-S010206H-00,"C/C,0201,330nF,10%,25V,X5R,HF,SAMSUNG",SAMSUNG,1-CAP電容類,A20
CL05A105KA5NQNC,,,SAMSUNG,1-CAP電容類,A20
CL05A105KP5NNNC,13100-S010108H-00,"CAP,0402,1uF,10%,10V,X5R,HF,SAMSUNG",SAMSUNG,1-CAP電容類,A20
CL05A106MQ5NUNC,13100-S010067H-00,"C/C,0402,10UF,20%,6.3V,X5R,HF,SAMSUNG",SAMSUNG,1-CAP電容類,A20
CL05A225K05NQNC,13100-S010347H-00,,SAMSUNG,1-CAP電容類,A20
CL05A225MQ5NSNC,,,SAMSUNG,1-CAP電容類,A20
CL05A226MQ5QUNC,,,SAMSUNG,1-CAP電容類,A20
CL05A474KA5NNNC,13100-S010069H-00,"C/C,0402,470nF,10%,25V,X5R,HF,SAMSUNG",SAMSUNG,1-CAP電容類,A20
CL05A475MQ5NRNC,,"C/C,4.7uF,±20%,0402,6.3V,X5R,HF,SAMSUNG",SAMSUNG,1-CAP電容類,A20
CL05B104KA5NNNC,13100-S010028H-00,"CAP,0402,0.1uF,10%,25V,X7R,HF,Samsung",SAMSUNG,1-CAP電容類,A20
CL05B104KO5NNNC,13100-S010280H-00,"C/C,0402,100NF,10%,16V,X7R,HF,SAMSUNG",SAMSUNG,1-CAP電容類,A20
CL05B104KP5NNNC,13100-S010407H-00,"C/C,0402,100NF,10%,10V,X7R,SAMSUNG",SAMSUNG,1-CAP電容類,A20
CL05B105KQ5NQNC,,,SAMSUNG,1-CAP電容類,A20
CL05B223KA5NNNC,13100-S010031H-00,"CAP,0402,0.022uF,10%,25V,X7R,HF,Samsung",SAMSUNG,1-CAP電容類,A20
CL05B224KO5NNNC,13100-S010829H-00,"C/C,0402,220nF,10%,16V,X7R,HF,SAMSUNG",SAMSUNG,1-CAP電容類,A20
CL05B472KB5NNNC,13100-S010153H-00,"C/C,0402,4700pF,10%,50V,X7R,HF,SAMSUNG",SAMSUNG,1-CAP電容類,A20
CL05C471JB5NNNC,13100-S010235H-00,"C/C,0402,470pF,5%,50V,NP0,HF,SAMSUNG",SAMSUNG,1-CAP電容類,A20
CL05C680JB5NNNC,13100-S010236H-00,"C/C,0402,68pF,5%,50V,NP0,HF,SAMSUNG",SAMSUNG,1-CAP電容類,A20
CL10A105KA8NNNC,13100-S010264H-00,,SAMSUNG,1-CAP電容類,A21
CL10A106MQ8NNNC,13100-S01000KH-00,"0603,10UF,20%,CL10A106MQ8NNNC,SAMSUNG",SAMSUNG,1-CAP電容類,A21
CL10A226MQ8NRNC,,,SAMSUNG,1-CAP電容類,A21
CL10A475KP8NNNC,13100-S010282H-00,"C/C,0603,4.7UF,10%,10V,X5R,HF,SAMSUNG",SAMSUNG,1-CAP電容類,A21
CL10A475KQ8NNNC,13100-S010241H-00,,SAMSUNG,1-CAP電容類,A21
CL10A476MQ8QRNC,,,SAMSUNG,1-CAP電容類,A21
CL10B105KO8NNNC,13100-S01002HH-00,"C/C,16V,1UF,10％,X7R,0603,HF,SAMSUNG",SAMSUNG,1-CAP電容類,A21
CL21A106KAYNNNE,,,SAMSUNG,1-CAP電容類,A21
CL21A226MPQNNNE,13100-S010819H-00,"C/C,0603,22UF,20%,6.3V,CL10A226MQ8NRNC",SAMSUNG,1-CAP電容類,A21
CL21A476MQYNNNE,13100-S010075H-00,"0805,47UF,20%,CL21A476MQYNNNE,SAMSUNG",SAMSUNG,1-CAP電容類,A21
DLM0NSN900HY2D,13202-S000019H-00,"CM,0806,90R,25%@100MHZ,HF,MURATA",MURATA,1-CAP電容類,A22
EEFSX0E221E7,13101-S0F0022H-00,"AL E/C,SX,220UF,20%,2.5V,105C,HF,Panason",PANASONIC,1-CAP電容類,A22
EEFSX0E331E4,13100-S0F0007H-00,"CAP,SX,330UF,20%,2.5V,105C,HF,Panasonic",PANASONIC,1-CAP電容類,A22
EEFSX0E471E4,13101-S0F0011H-00,"AL E/C,470uF,20%,2.5V,HF,PANASONIC",PANASONIC,1-CAP電容類,A22
GCM155R71E104KE02D,13100-S000359H-00,"C/C,0402,0.1UF,10%,25V,X7R,HF,MURATA",MURATA,1-CAP電容類,A22
GJM0335C1E180JB01D,13100-S000763H-00,"C/C,0201,18pF,5%,25V,NP0,HF,MURATA",MURATA,1-CAP電容類,A22
GRM0335C1E220JA01D,13100-S001199H-00,"C/C,22pF,GRM0335C1E220JA01D,MURATA,HF",MURATA,1-CAP電容類,A23
GRM033R60J105MEA2D,13100-S000681H-00,"C/C,0201,1UF,6.3V, X5R,HF,MURATA",MURATA,1-CAP電容類,A23
GRM033R61A225KE47D,13100-S000685H-00,"C/C,0201,2.2UF,10V,X5R,HF,MURATA",MURATA,1-CAP電容類,A23
GRM033R61C104KE84D,13100-S000262H-00,"0201,100NF,10%,GRM033R61C104KE84D,MURATA",MURATA,1-CAP電容類,A23
GRM033R61E224ME01D,13100-S000820H-00,"MLCC,0.22UF/25V,X5R,(0201),20%,Murata",MURATA,1-CAP電容類,A23
GRM033R71E391KA01D,13100-S000679H-00,"C/C,390PF,10%,25V,X7R,0201,Murata,HF",MURATA,1-CAP電容類,A23
GRM1555C1H101JA01D,13100-S000265H-00,"C/C,0402,100PF,5%,50V,C0G,HF,MURATA",MURATA,1-CAP電容類,A24
GRM1555C1H3R0CA01D,13100-S000152H-00,"C/C,0402,3pF,±0.25pF,50V,C0G,HF,MURATA",MURATA,1-CAP電容類,A24
GRM155R60J106ME05D,13100-S000211H-00,"C/C,10uF,GRM155R60J106ME05D,HF,MURATA",MURATA,1-CAP電容類,A24
GRM155R60J225KE95D,13100-S000257H-00,"C/C,0402,2.2UF,10%,6.3V,X5R,HF,MURATA",MURATA,1-CAP電容類,A24
GRM155R60J225ME15D,13100-S000249H-00,,MURATA,1-CAP電容類,A24
GRM155R60J475ME47D,13100-S000987H-00,MLCC - SMD/SMT 4.7UF 6.3V 20% 0402,MURATA,1-CAP電容類,A24
GRM155R60J475ME87D,13100-S000145H-00,"C/C,0402,4.7UF,20%,6.3V,X5R,HF,MURATA",MURATA,1-CAP電容類,A24
GRM155R61A105KE01D,13100-S000383H-00,"C/C,0402,1UF,10%,10V,X5R,HF,MURATA",MURATA,1-CAP電容類,A24
GRM155R61A106ME11,13100-S000903H-00,C/C 10uF/±20%/0402/X5R/-55~85℃/10Vdc,MURATA,1-CAP電容類,A24
GRM155R61E105KA12D,13100-S000263H-00,"C/C,0402,1UF,10%,25V,X5R,HF,MURATA",MURATA,1-CAP電容類,A24
GRM155R61E225KE11D,13100-S000979H-00,CAP CER 2.2UF 25V 10% X5R 0402,MURATA,1-CAP電容類,A24
GRM155R70J105KA12D,13100-S000610H-00,"CAP,0402,1uF,10%,6.3V,X7R,HF",MURATA,1-CAP電容類,A24
GRM155R70J472KA01D,13100-S000959H-00,C/C 4700pF ±10% 6.3V X7R 0402 muRata,MURATA,1-CAP電容類,A24
GRM155R71C104KA88D,13100-S000104H-00,0.1U_0402_16V_X7RK,MURATA,1-CAP電容類,A24
GRM155R71E473KA88D,13100-S000604H-00,"CAP,0402,0.047uF,10%,25V,X7R,HF",MURATA,1-CAP電容類,A24
GRM155R71H221KA01D,13100-S000609H-00,CAP CER 220pF 50V 10% X7R 0402,MURATA,1-CAP電容類,A24
GRM188C80G476ME01D,13100-S001012H-00,"C/C,0603,47uF,20%,4V,X6S,HF,MuRata",MURATA,1-CAP電容類,A25
GRM188R60J226MEA0D,13100-S000105H-00,"C/C,0603,22UF,20%,6.3V,X5R,HF,MURATA",MURATA,1-CAP電容類,A25
GRM188R60J476ME15D,13100-S000809H-00,C/C47uF±20%/0603/?6.3V/ X5R Murata,MURATA,1-CAP電容類,A25
GRM188R71A225KE15D,13100-S000334H-00,"C/C,0603,2.2uF,10%,10V,X7R,HF,MURATA",MURATA,1-CAP電容類,A25
GRM21BC81E106KE51L,13100-S001230H-00,"C/C,0805,10uF,10%,25V,X6S,HF,MURATA",MURATA,1-CAP電容類,A25
GRM21BR61E226ME44L,13100-S000010H-00,"C/C,0805,22UF,20%,25V,X5R,HF,MURATA",MURATA,1-CAP電容類,A25
BLM15AX300SN1D,13200-S000245H-00,"BEAD,0402,30 OHM,25%,100MHz,HF,MURATA",MURATA,2-IND電感類,A26
BLM18KG300WH1D,13200-S000072H-00,"BEAD,0603,30R,25%,1.85A,HF,MURATA",MURATA,2-IND電感類,A26
GRT0335C1E220JA02D,13100-S000695H-00,"C/C,0201,22pF,5%,25V,NP0,HF,MURATA",MURATA,1-CAP電容類,A26
UMK105B7102KV-F,13100-S050104H-00,"C/C,0402,1000pF,10%,50V,X7R,HF,TAIYO",TAIYO,1-CAP電容類,A26
UMK105B7102KVHF,,,TAIYO,1-CAP電容類,A26
EM-10AM05V35-LH,13201-S340008H-00,"IND,S,7.5*6.9*3.0,1UH,20%,HF,TRIO",TRIO,2-IND電感類,A27
EM-15BM05VC17-LH,13201-S340005H-00,"IND,S,7.6*6.8*3.0,1500NH,20%,HF,TRIO",TRIO,2-IND電感類,A27
EM-22AM05V05-LH,13201-S340007H-00,"IND,S,7.4*6.9*3.0,2200NH,20%,HF,TRIO",TRIO,2-IND電感類,A27
EM-22AM05V06-LH,13201-S340003H-00,"IND,S,7.3*6.8*3.0,2200NH,20%,HF,TRIO",TRIO,2-IND電感類,A27
EM-22AM29VG1-LH,13201-S340004H-00,"IND,S,7.6*6.9*1.5,2200NH,20%,HF,TRIO",TRIO,2-IND電感類,A27
EM-22BM04V06-LH,13201-S340006H-00,"IND,S,7.5*6.9*2.4,220NH,20%,HF,TRIO",TRIO,2-IND電感類,A27
FCM1005KF-301T01,13200-S010077H-00,"BEAD,0402,300R,25%,100mA,HF,TAITECH",TAITECH,2-IND電感類,A28
HCB1608KF-300T30,13200-S010078H-00,"BEAD,0603,30R,25%,3A,HF,TAITECH",TAITECH,2-IND電感類,A28
HCB2012KF-121T50,13200-S01000AH-00,"BEAD,120R,25%,HCB2012KF-121T50,TAI-TECH",TAI-TECH,2-IND電感類,A28
HCB2012KF-121T60,13200-S010028H-00,,TAI-TECH,2-IND電感類,A28
MBKK2012T1R0M,13201-S0K0028H-00,"IND,S,0805,1uH,20%,HF,TAIYO",TAIYO,2-IND電感類,A28
QT1005RL060HC050-LF,13200-S050003H-00,"Bead,60Ω,QT1005RL060HC050-LF,0402,MAGIC",MAGIC,2-IND電感類,A28
QTCW2012EH4-120-LF,13202-S050001H-00,"CM,S,2012,120R@100MHZ,HF,MAGIC",MAGIC,2-IND電感類,A28
TMPA0603S-1R5MN-D,13201-S010091H-00,"IND,S,7.4*6.8*3.0,1500NH,20%,HF,TRIO",TAI-TECH,2-IND電感類,A28
TMPA0603S-R15YN-D,13201-S010092H-00,"IND,S,7.4*6.8*3.0,150NH,30%,HF,TAI-TECH",TAI-TECH,2-IND電感類,A28
12-22/S2ST3D-C30/2C,13309-S0V0062H-00,"LED,O-W,5V,50mA,HF,Everlight",EVERLIGHT,3-二三極管,A29
2N7002K,13306-S060002H-00,"MOSFET,N-CH,60V,0.34A,SOT-23,HF",JINGHENG,3-二三極管,A29
2N7002K-H,,"MOSFET,2N7002K-H,60V,SOT23,RUICHIPS",RUICHIPS,3-二三極管,A29
2N7002LT1G,,2N7002LT1G_SOT23-3,ON,3-二三極管,A29
AONP36332,13306-S0H0025H-00,"MOS,N+N,AONP36332,DFN3.3x3.3B,HF,AOS",AOS,3-二三極管,A29
BAT54C2,13301-S700001H-00,BAT54C2-0-T5-G,CYSTEK,3-二三極管,A30
BAT54C2-0-T5-G,13301-S700001H-00,"SBD,BAT54C2-0-T5-G,SOD-523,HF,CYSTECH",CYSTEK,3-二三極管,A30
BAT54CLT1G,13301-S040027H-00,"Diode,SBD,30V,SOT-23,BAT54CLT1G,HF,ON",ON,3-二三極管,A30
BAT54CW,13301-S08R000H-00,"SBD,30V,0.2A,S,SOT323,ROHF",PANJIT,3-二三極管,A30
BAT54WS,13301-S0A0008H-00,"DIODE,Schottky,30V,0.2A,SOD-323,HF",YANGJIE,3-二三極管,A30
BAT54XV2,13301-S0A0025H-00,"DIODE,SCHOTTKY,200MA,30V,SOD-523,HF",YANGJIE,3-二三極管,A30
LBAT54ALT1G,13301-S090037H-00,"SBD,LBAT54ALT1G,SOT23,HF,LRC",LRC,3-二三極管,A30
LBAT54CLT1G,13301-S090040H-00,"SBD,LBAT54CLT1G,SOT-23,HF,LRC",LRC,3-二三極管,A30
LBAT54CWT1G,13301-S09R001H-00,"SBD,LBAT54CWT1G,SOT323,HF,LRC",LRC,3-二三極管,A30
LBAT54XV2T1G,,,LRC,3-二三極管,A30
ELSS-206SURWA/S530-A3/S290,,S LED ELSS-206SURWA/S530-A3/S290 RED,Everlight,3-二三極管,A31
EMB07P03V_190625,,,EXCELLIANCE,3-二三極管,A31
ESD5302N,13305-S0D0012H-00,"ESD,ESD5302N,DFN1006-3L,HF,WILLSEMI",WILLSEMI,3-二三極管,A31
L2N7002FDW1T1G,13306-S090036H-00,"MOS,N,L2N7002FDW1T1G,SC–88,HF,LRC",LRC,3-二三極管,A31
L2N7002SDW1T1G,,,LRC,3-二三極管,A31
L2SK3019LT1G,13306-S090029H-00,"MOS,N,L2SK3019LT1G,SOT-23,HF,LRC",LRC,3-二三極管,A31
LESD11LL5.0CT5G,133-200000-183R,"TVS,LESD11LL5.0CT5G,LRC,RoHS",LRC,3-二三極管,A31
LMBT3904LT1G,13307-S090009R-00,"BJT,NPN,LMBT3904LT1G,SOT23-3,RS,LRC",LRC,3-二三極管,A31
LTST-C193TBKT-5A,13309-S0U0062H-00,"LED,LTST-C193TBKT-5A,INGAN BLUE,LITEON",LITEON,3-二三極管,A31
ME2N7002F1KW-G,,S TR ME2N7002F1KW-G 2N SOT-363-6 ESD,MATSUKI,3-二三極管,A31
MTA50P01SN3,13306-S700007H-00,"MOS,P,MTA50P01SN3,SOT-23,HF,CYSTECH",CYSTECH,3-二三極管,A31
MTAK6Y3,13306-S700008H-00,"MOS,N,MTAK6Y3,SOT-723,HF,CYSTECH",CYSTECH,3-二三極管,A31
MTDK5S6R,13306-S700004H-00,MTDK5S6R-0-T1-G,CYSTECH,3-二三極管,A31
MTDK5S6R-0-T1-G,13306-S700004H-00,"MOS,N,MTDK5S6R-0-T1-G,SOT363,HF,CYSTECH",CYSTECH,3-二三極管,A31
PBSS2515E,13307-S0G0004H-00,"BJT,NPN,PBSS2515E,SOT416,HF,NXP",NXP,3-二三極管,A31
PBSS2515VS,13307-S030020H-00,"BJT,D-NPN,PBSS2515VS,SOT666,HF,Nexperia",NEXPERIA,3-二三極管,A31
PESD5V0H1BSFYL,13305-S030012H-00,"ESD,PESD5V0H1BSF,SOD962-2,HF,NEXPERIA",NEXPERIA,3-二三極管,A31
PMBS3906,13307-S030019H-00,"BJT,PNP,PMBS3906,SOT23,HF,NEXPERIA",NEXPERIA,3-二三極管,A31
RM04JTN204,,,TA-I,3-二三極管,A31
SI7625DN,13306-S0E0033H-00,"MOS,P,SI7625DN,PAK 1212-8,HF,Vishay",VISHAY,3-二三極管,A31
SS206SYGWA/S530-E2/S290,13309-S0V0063H-00,"LED,SS206SYGWA/S530-E2/S290,EVERLIGHT",EVERLIGHT,3-二三極管,A31
YJL2305A,,,YANGJIE,3-二三極管,A31
H56G42AS4DX014,13401-S0D0001H-00,"IC,GD6,H56G42AS4DX014,BGA,HF,HYNIX",HYNIX,4-Memory內存,A32
H9JCNNNCP3MLYR-N6E,13405-S0D0001H-00,"IC,LP5,H9JCNNNCP3MLYR-N6E,BGA,32Gb,HYNIX",HYNIX,4-Memory內存,A32
K3LKBKB0BM-MGCP,13405-S0C0001H-00,"IC,LP5,K3LKBKB0BM-MGCP,BGA,32Gb,HF,SS",SAMSUNG,4-Memory內存,A32
K4ZAF325BM-HC14,13470-S0C0001H-00,"IC,GD6,K4ZAF325BM-HC14,BGA,16Gb,HF,SS",SAMSUNG,4-Memory內存,A32
MT62F512M32D2DR-031 WT:B,13405-S000001H-00,"LP5,MT62F512M32D2DR-031 WT:B,16Gb,MICRON",MICRON,4-Memory內存,A32
W25Q128JWSIQ,13420-S060034H-00,"NOR,W25Q128JWSIQ,SOIC-8,HF,WINBOND",WINBOND,4-Memory內存,A32
W25Q256JVEIQ,13430-S060001H-00,"NAND,W25Q256JVEIQ,WSON-8,HF,Winbond",Winbond,4-Memory內存,A32
W25Q80DVSNIG,13420-S060004H-00,"IC,8Mbit,SOIC-8,W25Q80DVSNIG,Winbond,HF",Winbond,4-Memory內存,A32
AF1206F3.00TM,13503-S080005H-00,"FUSE,AF1206F3.00TM,1206,65V,3A,HF,AEM",AEM,5-Other其他被動,A33
E3SB12E000017E,,,HOSONIC,5-Other其他被動,A33
S20A-038400-T10-YYD-1ATGA,13502-S230009H-00,"XTL,S,S20A-038400,38.4MHz,±30ppm,HF,YOKE",YOKE,5-Other其他被動,A33
S3215C,13502-S230010H-00,"XTL,S,3215,S3215C,32.768KHz,±30ppm,YOKE",YOKE,5-Other其他被動,A33
S3225A-025000,13502-S230011H-00,"XTL,S,S3225A-025000-F20-DYC,25M,±20,YOKE",YOKE,5-Other其他被動,A33
S32A-038400-T10-BDN-1ATGA,13502-S230012H-00,"XTL,S,38.4MHz,±10ppm,HF,YOKE",YOKE,5-Other其他被動,A33
SPR-P110,13503-S0C0008H-00,"FUSE,SPR-P110,0805,6V,1.1A,HF,PTTC",PTTC,5-Other其他被動,A33
SPR-P260T,,,PTTC,5-Other其他被動,A33
SX32Y012000BC1T001,,S CRYSTAL 12MHZ 12PF +-20PPM 7V12000011,TKD,5-Other其他被動,A33
"(15W), i5",,,INTEL,6-IC集成芯片,A34
"(15W), i7",,,INTEL,6-IC集成芯片,A34
"(28W), i3-1220P, Q???, non-vPro",,,INTEL,6-IC集成芯片,A34
99AP3W,13600-S030008H-00,"IC,CPU,99AP3W,I5-1250P,ADL-P,HF,Intel",INTEL,6-IC集成芯片,A34
99AP3W/QYYC,13600-S030008H-00,C_ADL_P_IP_EXT_0P52/BGA,INTEL,6-IC集成芯片,A34
99AP3X,13600-S030009H-00,"IC,CPU,99AP3X,I5-1240P,ADL-P,HF,Intel",INTEL,6-IC集成芯片,A34
99AP3X/QYYD,13600-S030009H-00,C_ADL_P_IP_EXT_0P52/BGA,INTEL,6-IC集成芯片,A34
74AHC1G08GW,136EB-S010001H-00,"CMOS,74AHC1G08GW,SOT353,HF,NXP",NXP,6-IC集成芯片,A35
ALC122-CG,13621-S0C0002H-00,"IC,Audio AMP,ALC122-CG,QFN-24,Realtek",REALTEK,6-IC集成芯片,A35
ALC269Q-VB6-CG,13620-S0C0007H-00,"IC,Audio Codec,ALC269Q,QFN-48,Realtek",REALTEK,6-IC集成芯片,A35
AOZ13987DI-02,136D1-S5K0001H-00,"PWR-SW,DFN3x3,AOZ13987DI-02,HF,AOS",AOS,6-IC集成芯片,A36
AOZ22645QI,136BA-S5K0003H-00,"BUCK,QFN4x4,AOZ22645QI,HF,AOS",AOS,6-IC集成芯片,A36
AOZ5516QI,136BA-S5K0004H-00,"BUCK,QFN5x5,AOZ5516QI,HF,AOS",AOS,6-IC集成芯片,A36
AOZ71026I,136BA-S5K0005H-00,AOZ71026QI,AOS,6-IC集成芯片,A36
AOZ71026QI,136BA-S5K0005H-00,"BUCK,QFN6x6,AOZ71026QI,HF,AOS",AOS,6-IC集成芯片,A36
DG2,13606-S030001H-00,"IC,GPU, DG2 SKU4 SKU5,Intel",INTEL,6-IC集成芯片,A36
AP2330W-7,136D2-S0Q0002H-00,"IC,LoadSwitch,AP2330W-7,SC59,HF,Diodes",DIODES,6-IC集成芯片,A37
APX8132AI-TRG,136E2-S250001H-00,"HALL SENSOR,APX8132AI-TRG,SOT23,ANPEC",ANPEC,6-IC集成芯片,A37
CYPD6227-96BZXI,13665-S060002H-00,"IC,PD,CYPD6227-96BZXI,BGA-96,HF,Cypress",CYPRESS,6-IC集成芯片,A37
EM5109AVT-00A,136B1-S5H0001H-00,"IC LDO,EM5109AVT-00A,DFN3x3-10,HF,EMC",EXCELLIANCE,6-IC集成芯片,A38
EM5201DV,136D2-S5H0003H-00,"IC,LoadSwitch,EM5201DV,DFN3X3-08,HF,EMC",EXCELLIANCE,6-IC集成芯片,A38
EM5207VF,136D2-S5H0004H-00,"IC,LoadSwitch,,EM5207VF,DFN3X2-14,HF,EMC",EXCELLIANCE,6-IC集成芯片,A38
EM5209VF,136D2-S5H0001H-00,"IC SWITCH IC,DFN3X2-14L,6A,EM5209VF,EMC",EXCELLIANCE,6-IC集成芯片,A38
G9141T11U,136B1-S1D0001H-00,"LDO,G9141T11U,HF,GMT",GMT,6-IC集成芯片,A38
G9141T11U ,,G916T1UF_SOT23-5,,6-IC集成芯片,A38
G916T1UF,,S IC G916T1UF SOT23 5P ADJUSTABLE LDO,TA-I,6-IC集成芯片,A38
ISL9238CHRTZ,136BC-S860002H-00,"Buck/Boost,TQFN4x4,ISL9238CHRTZ,RENESAS",RENESAS,6-IC集成芯片,A38
IT5570E-128,13604-S0V0001H-00,"IC,EC,IT5570E-128,LQFP,ITE",ITE,6-IC集成芯片,A39
IT5570VG-128/CX,13604-S0V0002H-00,"MCU,IT5570E-128,VFBGA,HF,ITE",ITE,6-IC集成芯片,A39
IT66318FN/EW,1366B-S0V0001H-00,IT66318FN/EW,ITE,6-IC集成芯片,A39
IT66318FN/EW-03-R,1366B-S0V0001H-00,"IC,RETIMER,IT66318FN/EW,QFN40,HF,ITE",ITE,6-IC集成芯片,A39
JHL8040R,1366B-S030001H-00,"IC,RETIMER,JHL8040R,BGA-105,HF,INTEL",INTEL,6-IC集成芯片,A39
LIS2DW12,136E7-S040007H-00,LIS2DW12TR-GP,STMICROELECTRONICS,6-IC集成芯片,A39
LIS2DW12TR,136E7-S040007H-00,"IC,G Sensor,LIS2DW12TR,LGA-12,HF,ST",STMICROELECTRONICS,6-IC集成芯片,A39
MP2941A,136BA-S190029H-00,"BUCK,QFN3x4,MP2941A,HF,MPS",MPS,6-IC集成芯片,A39
MP86901C,136BA-S190028H-00,"BUCK,TQFN3x4,MP86901C,HF,MPS",MPS,6-IC集成芯片,A39
NCP133AMXADJTCG,136BA-S0R0005H-00,"BUCK,XDFN1.2x1.2,NCP133AMXADJTCG,ONSEMI",ONSEMI,6-IC集成芯片,A39
NL17SZ08,13672-S0R0002H-00,"LOGIC GATE,NL17SZ08DFT2G,SOT?353,HF,ON",ON,6-IC集成芯片,A39
NUC123SD4AN0,13604-SA80007H-00,"IC,MCU,NUC123SD4AN0,LQFP64,HF,NUVOTON",NUVOTON,6-IC集成芯片,A39
PI4ULS3V504AZMAEX,13677-S0K0001H-00,"LOGIC Ctrl,PI4ULS3V504A,QFN-12,PERICOM",PERICOM,6-IC集成芯片,A39
PS8811QFN36GTR2-A3,1366B-S0P0001H-00,"IC,Retimer,PS8811,QFN36,HF,Parade",PARADE,6-IC集成芯片,A39
JMK105CBJ106MV-F,,,TAIYO,1-CAP電容類,A40
RT9078-18GJ5,136B1-S180003H-00 ,"LDO,RT9078-18GJ5,HF,RICHTEK,TSOT-23-5",RICHTEK,6-IC集成芯片,A40
RT9193-18GU5,,S IC RT9193-18GU5 SC-70 5P LDO,AIT GROUP,6-IC集成芯片,A40
RTS5250S,1366A-S0C0001H-00,"Card reader controller,RTS5250S,REALTEK",REALTEK,6-IC集成芯片,A40
SY8310,136BA-S1B0026H-00,"BUCK,QFN3x3,SY8310,HF,Silergy",SILERGY,6-IC集成芯片,A40
SY8370C1,136BA-S1B0025H-00,"BUCK,QFN3x4,SY8370C1,HF,SILERGY",SILERGY,6-IC集成芯片,A40
SY8371B,136BA-S1B0024H-00,"BUCK,QFN3x4,SY8371B,HF,SILERGY",SILERGY,6-IC集成芯片,A40
SY8386,136BA-S1B0027H-00,"BUCK,QFN2.5x2.5,SY8386,HF,Silergy",SILERGY,6-IC集成芯片,A40
T520V227M2R5ATE007,,,POWERV,1-CAP電容類,A40
TPS2546RTER,13665-S080009H-00,"IC,USB PD,TPS2546,WQFN-16,HF,TI",TI,6-IC集成芯片,A40
TS3A226AEYFFR,136D0-S080017H-00,"ANALOG SWITCH,TS3A226AEYFFR,DSBGA,HF,TI",TI,6-IC集成芯片,A40
WAS7227Q-10/TR,136D4-S780001H-00,"IC,Switch,WAS7227Q-10/TR,QFN,HF,WILLSEMI",WILLSEMI,6-IC集成芯片,A40
158-1000902603,050-Z242Z0-003H,MICRO SD 158-1000902603,TAISOL,7-CONN,A41
158-1000902614,050-Z24270-001H,"Micro SD,STD,H1.27,23P,Push Push",TAISOL,7-CONN,A41
20525-040E-02,050-Z40270-001H,"EDP, pitch 0.4, H1, 40pin, R/A",I-PEX,7-CONN,A41
2SJ3080-064111F,050-32205L-002H,"Audio, 4pole, CH-0.7, 6P, 內徑3.6，外徑6，無鐵環",SINGATRON,7-CONN,A41
2UB1646-003111F,050-4J2090-001H,"USB 3.1A, REV, CH-0.7, 沉板, 9P , Black",SINGATRON,7-CONN,A41
50208-00601-001,050-Z06250-001H,"WTB, H1.7, P0.8, 6P, R/A",ACES,7-CONN,A42
50273-0080N-001,050-1Z2088-002H,ACES 50273-0080N-001,ACES,7-CONN,A42
50521-0084N-P01,050-1Z2088-001H,50521-0084N-P01,ACES,7-CONN,A42
50696-0120M-002,050-Z12260-002H,"ZIF, H1, P0.5, 12P, R/A",ACES,7-CONN,A42
50950-0084N-002,050-Z082Z0-021H,SPI ROM SOCKET,ACES,7-CONN,A42
51540-03001-001,050-Z30250-001H,"LOCK, FPC, H1.8, P0.5, 30P, R/A",ACES,7-CONN,A42
51575-00401-001,050-Z04250-006H,"LOCK, FPC, H1.8, P1, 4P, R/A",ACES,7-CONN,A42
51614-01001-002,050-Z10250-002H,"ZIF, H1.0, P0.5, 10P, R/A",ACES,7-CONN,A42
51678-00801-001,050-Z08250-007H,"LOCK, ZIF, H1.8, P1, 8P, R/A",ACES,7-CONN,A42
51733-06702-005,050-Z67280-004H,其它67P|母|金15u'|HF,ACES,7-CONN,A42
